
2024/09/24 (02:17:53) | ===> btop++ v.1.4.0
2024/09/24 (02:17:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (14:15:43) | ===> btop++ v.1.4.0
2024/09/25 (14:15:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (22:35:13) | ===> btop++ v.1.4.0
2024/09/30 (22:35:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (22:38:21) | ===> btop++ v.1.4.0
2024/09/30 (22:38:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (23:36:44) | ===> btop++ v.1.4.0
2024/10/05 (23:36:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (15:26:41) | ===> btop++ v.1.4.0
2024/10/09 (15:26:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (16:12:51) | ===> btop++ v.1.4.0
2024/10/09 (16:12:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (16:15:10) | ===> btop++ v.1.4.0
2024/10/09 (16:15:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (10:51:13) | ===> btop++ v.1.4.0
2024/10/19 (10:51:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:35:33) | ===> btop++ v.1.4.0
2024/10/19 (12:35:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:36:30) | ===> btop++ v.1.4.0
2024/10/19 (12:36:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:36:51) | ===> btop++ v.1.4.0
2024/10/19 (12:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:37:03) | ===> btop++ v.1.4.0
2024/10/19 (12:37:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:45:14) | ===> btop++ v.1.4.0
2024/10/19 (12:45:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (00:49:51) | ===> btop++ v.1.4.0
2024/11/30 (00:49:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (03:02:12) | ===> btop++ v.1.4.0
2024/12/11 (03:02:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (03:12:41) | ===> btop++ v.1.4.0
2024/12/11 (03:12:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (06:00:44) | ===> btop++ v.1.4.0
2024/12/11 (06:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (01:13:03) | ===> btop++ v.1.4.0
2024/12/14 (01:13:03) | WARNING: Intel GPU: Failed to initialize PMU
